woord;vertaling Engels;vertaling Arabisch;hoofdstuk;taak
achternaam, de;surname;لقب العائلة;1;intro
auto, de;car;سيارة;1;intro
dochter, de;daughter;ابنة;1;intro
en;and;و;1;intro
familie, de;family, relative;عائلة/ أقارب;1;intro
geven (geeft);to give ;يعطي;1;intro
hebben;to have;يمتلك;1;intro
heten;to be called;يسمى/ يدعى;1;intro
huisarts, de;family doctor, general practitioner;طبيب العائلة/ طبيب عام;1;intro
jaar, het;year;عام/ سنة;1;intro
kinderen, de (het kind);children (child);أطفال (طفل);1;intro
komen;to come;يأتي;1;intro
man, de;husband (man);زوج (رجل);1;intro
met;with;مع;1;intro
moeder, de;mother;أم;1;intro
naam, de ;name;اسم;1;intro
nieuw;new;جديد;1;intro
nu;now;الآن;1;intro
nummer, het;number;رقم;1;intro
op;on, at;في;1;intro
uit (ik kom uit…);out (I am from);خارج (أنا أتيت من);1;intro
vandaan ;from;من;1;intro
voornaam, de;first name;الاسم الاول;1;intro
vrouw, de ;wife (woman);زوجة (امرأة);1;intro
werken;to work;يعمل;1;intro
winkel, de ;shop;متجر;1;intro
wonen;to live;يعيش;1;intro
zijn (ben, bent, is);to be;يكون;1;intro
zoon, de;son;ابن;1;intro
zus, de;sister;اخت;1;intro
daar;there;هناك;1;slot
dan;then, than;ثم;1;slot
hier;here;هنا;1;slot
kennen;to know;يعلم;1;slot
kunnen;can, to be able to;يستطيع;1;slot
leuk ;nice;لطيف;1;slot
mobiele telefoon, de;mobile phone;خاتف خليوي;1;slot
naar;to;الى;1;slot
restaurant, het;restaurant;مطعم;1;slot
snel;quick(ly), soon;بسرعة;1;slot
student, de;student;تلميذ;1;slot
studeren;to study;يدرس;1;slot
wachten;to wait;ينتظر;1;slot
doen;to do;يقوم بـ;1;taak 1
antwoord, het;answer ;يجيب/ جواب;1;taak 1
antwoorden;to answer;يجيب/ جواب;1;taak 1
bedanken;to thank;يشكر;1;taak 1
beginnen;to begin;يبدأ;1;taak 1
bij;at;في;1;taak 1
binnenkomen;come in;يدخل;1;taak 1
broer, de;brother;أخ;1;taak 1
gaan;to go ;يذهب;1;taak 1
goed;oké, good;جيد;1;taak 1
hoe (hoe heet je?);how (what's your name);كيف (ما اسمك);1;taak 1
ja;yes;نعم;1;taak 1
luisteren;to listen;يسمع;1;taak 1
meedoen;to participate;يشارك;1;taak 1
meneer, de ;sir (hello sir) / Mr. (Mr. Bos);سيد;1;taak 1
mevrouw, de ;madam (hello madam) / Mrs. Ms. Bos;سيدة;1;taak 1
moeten;must / shall;يجب;1;taak 1
nee;no;لا;1;taak 1
ook;also, too;ايضا;1;taak 1
schrijven;to write (down);يدوّن;1;taak 1
vader, de;father;اب;1;taak 1
voorstellen;to introduce;قدم شخصاً/ يُعرّف;1;taak 1
vraag, de;question;سؤال;1;taak 1
vragen *;to ask;يسأل/ سؤال;1;taak 1
waar;where;أين;1;taak 1
wat;what;ماذا;1;taak 1
wie;who;من;1;taak 1
zitten;to sit, to be;يجلس;1;taak 1
zullen (zal);shall / will;سوف;1;taak 1
achter;after, behind;بعد/ خلف;1;taak 2
adres, het;address;عنوان;1;taak 2
bellen;to call, to phone;يتصل هاتفياً;1;taak 2
cijfer, het;number;عدد/ رقم;1;taak 2
cursus, de;course;دورة;1;taak 2
fijn;nice, lovely, great;جيد/ لطيف;1;taak 2
geen;no;لا;1;taak 2
huis, het;house;بيت;1;taak 2
kijken;to look;ينظر;1;taak 2
klopt dat?;is that correct?;هل هذا صحيح؟;1;taak 2
krant, de;newspaper;جريدة;1;taak 2
niet;not;لا (للنفي);1;taak 2
ongeveer;about;تقريباً;1;taak 2
plaats, de ;here: town, city;مدينة او بلدة;1;taak 2
soms;sometimes;أحياناً;1;taak 2
staan (de postcode staat op de brief);to stand (the postal code is on the letter);يقف (الرمز البريدي موجود على الرسالة);1;taak 2
straat, de;street;شارع;1;taak 2
vandaag;today;اليوم;1;taak 2
volgen;to follow;يتبع;1;taak 2
welk;which, what;ماذا/ أي;1;taak 2
groeten;to greet;يرحب/ يلقي التحية;1;taak 3
vriend, de;friend;صديق;1;taak 3
weer;again;مرة أخرى;1;taak 3
weggaan;to leave;يرحل;1;taak 3
willen;to want;يريد;1;taak 3
zeggen;to say;يقول;1;taak 3
datum, de;date;تاريخ;1;taak 4
geboorte, de;birth;ولادة;1;taak 4
geslacht, het;gender;النوع/ الجنس (ذكر ام انثى);1;taak 4
invullen;fill in,out;ملء;1;taak 4
maart;march;آذار;1;taak 4
Nederlands(e);Dutch;هولندي;1;taak 4
onder;here: at the bottom;اسفل;1;taak 4
persoonlijk;personal;شخصي;1;taak 4
zetten (een handtekening zetten);to put (to put your signature, to sign);يضع (يضع توقيعه، يوقّع);1;taak 4
zoeken;to look for ;يبحث;1;taak 4
afspraak, de;appointment, engagement;موعد;2;intro
bijna;nearly, almost;تقريباً/ حوالي;2;intro
douche, de;shower;الدوش في الحملم;2;intro
gelijk ;right ;صحيح;2;intro
minuut, de ;minute;دقيقة;2;intro
net ;just ;فقط;2;intro
opschieten;to hurry up;يسرع;2;intro
over (over 10 minuten);about (in 10 minutes);حوالي (خلال عشر دقائق);2;intro
sorry;sorry;اسف;2;intro
te (te laat);too (too late);جداً (تأخير جداً);2;intro
thuis;at home;في المنزل;2;intro
uur, het (om 3 uur);hour (at three o' clock);ساعة (في الساعة الثالثة);2;intro
veel;much, many;كثير;2;intro
wakker;awake;مستيقظ;2;intro
avond, de;evening;مساء;2;taak 1
gisteren;yesterday;البارحة;2;taak 1
kiezen;to choose;يختار;2;taak 1
leren;to teach / to learn;يَدرس/ يُدرّس;2;taak 1
maand, de;month;شهر;2;taak 1
middag;afternoon;بعد الظهيرة;2;taak 1
morgen;tomorrow;غداً;2;taak 1
morgen, de;morning;صباحاً;2;taak 1
nacht, de;night;ليل;2;taak 1
ochtend, de;the morning;الصباح;2;taak 1
of;or;أو;2;taak 1
rijden;to drive;يقود;2;taak 1
vanavond;tonight;الليلة;2;taak 1
vanmiddag;this afternoon;بعد ظهر هذا اليوم;2;taak 1
volgend;next;القادم;2;taak 1
vrij ;free, a day off;حر/ يوم عطلة;2;taak 1
week, de;week;اسبوع;2;taak 1
weekend, het;weekend;نهاية الاسبوع;2;taak 1
tijd, de;time;الوقت;2;taak 2
aflopen ;to end;يُنهي;2;taak 2
